N°	Maintenance Type	Printer	Line	PM to be done at JT	MACHINE TIME	JET TIME	PM Ecart JT	Effective PM date	Next PM	Next Jet Time	NEXT DATE	mois prevu	Année prévue	
3977	1200h	N3A13263	Line107	45040	48031	"45,220"	180	10/6/16	2400h	46420	11/25/16	11	2016	
3976	9600h	N3A13556	Line13	34546	38786	"35,175"	629	10/8/16	9600h	44775				
3975	1200h	N3A13551	Line194	37150	39802	"37,103"	-47	10/8/16	2400h	38303	11/27/16	11	2016	
3974	4800h	N3A13819	Line75	41435	46066	"41,238"	-197	9/15/16	4800h	46038				
3973	2400h	N3A13819	Line75	41349	46186	41356	7	9/20/16	1200h	42556	11/9/16	11	2016	
3972	1200h	N3A13497	Line2	40172	47549	"40,227"	55	9/2/16	2400h	41427	10/22/16	10	2016	
3971	4800h	N3A13493	Line2	20327	29377	"20,438"	111	9/6/16	4800h	25238				
3970	2400h	N3A13493	Line2	20438	29377	"20,438"	0	9/6/16	1200h	21638	10/26/16	10	2016	
3969	4800h	N3A13490	Line73	45940	50147	"46,180"	240	9/5/16	4800h	50980				
3968	2400h	N3A13490	Line73	46182	50147	"46,180"	-2	9/5/16	1200h	47380	10/25/16	10	2016	
3967	1200h	N3A13419	Line193	17684	34694	"17,699"	15	9/1/16	2400h	18899	10/21/16	10	2016	
3966	1200h	N3A13320	Line193	36091	45217	"36,072"	-19	9/5/16	2400h	37272	10/25/16	10	2016	
3965	2400h	AS0000090362	Line30	37587	39278	"37,612"	25	9/2/16	1200h	38812	10/22/16	10	2016	
3964	4800h	N3A13422	Line12	36500	44708	"36,670"	170	9/9/16	4800h	41470				
3963	2400h	N3A13422	Line12	36500	44708	"36,670"	170	9/9/16	1200h	37870	10/29/16	10	2016	
3962	2400h	N3A13551	Line193	35760	39312	"35,950"	190	9/9/16		37150				
3961	2400h	N3A13417	Line34	38482	44121	"38,670"	188	9/6/16	1200h	39870	10/26/16	10	2016	
3960	2400h	N3A13488	Line38	47564	52219	"47,560"	-4	9/29/16	1200h	48760	11/18/16	11	2016	
3959	2400h	N3A13429	Line92	47450	53100	"47,600"	150	9/28/16	1200h	48800	11/17/16	11	2016	
3958	1200h	N3A13723	Line85	20499	22176	"20,535"	36	9/27/16	2400h	21735	11/16/16	11	2016	
3957	2400h	N3A13559	Line8	40648	46543	"40,736"	88	9/26/16	1200h	41936	11/15/16	11	2016	
3956	4800h	N3A13299	Line103	36092	38839	"36,256"	164	8/4/16	4800h	41056				
3955	2400h	N3A13268	Line54	34721	45688	"34,903"	182	9/26/16	1200h	36103	11/15/16	11	2016	
3954	1200h	N3A13268	Line34	33521	44312	"33,521"	0	7/12/16		34721				
3953	2400h	N3A13718	Line193	18999	20537	"18,990"	-9	8/29/16	1200h	20190	10/18/16	10	2016	
3952	1200h	N3A13321	Line20	42863	48422	"42,851"	-12	9/21/16	2400h	44051	11/10/16	11	2016	
3951	1200h	N3A13314	Line77	41494	47550	"41,484"	-10	9/22/16	2400h	42684	11/11/16	11	2016	
3950	9600h	N3A13429	Line92	46642	51780	"46,250"	-392	8/21/16	9600h	55850				
3949	4800h	N3A13429	Line92	46900	51780	"46,250"	-650	8/21/16	4800h	51050				
3948	1200h	N3A13429	Line92	46060	51780	"46,250"	190	8/21/16		47450				
3947	2400h	N3A13315	Line112	33040	39210	"33,179"	139	9/22/16	1200h	34379	11/11/16	11	2016	
3946	9600h	N3A13238	Line17	39300	44215	"39,140"	-160	9/22/16	9600h	48740				
3945	4800h	N3A13238	Line17	39790	44215	"39,140"	-650	9/22/16	4800h	43940				
3944	1200h	N3A13238	Line17	38950	44215	"39,140"	190	9/22/16	2400h	40340	11/11/16	11	2016	
3943	2400h	N3A13238	Line17	37573	42780	"37,750"	177	8/20/16		38950				
3942	2400h	N3A13293	Line4	44044	48756	"43,871"	-173	9/24/16	1200h	45071	11/13/16	11	2016	
3941	4800h	N3A13293	Line4	43550	48756	"43,871"	321	9/24/16	4800h	48671				
3940	9600h	N3A13293	Line4	43246	48756	"43,871"	625	9/24/16	9600h	53471				
3939	1200h	N3A13336	Line124	3802	9386	"3,709"	-93	9/27/16	2400h	4909	5/1/15	5	2015	
3938	2400h	N3A13250	Line70	34420	45090	"34,600"	180	9/23/16	1200h	35800	11/12/16	11	2016	
3937	1200h	N3A13717	Line105	34401	37250	"34,420"	19	9/4/16	2400h	35620	10/24/16	10	2016	
3936	1200h	N3A13299	Line103	37456	40029	"37,456"	0	9/24/16	2400h	38656	11/13/16	11	2016	
3935	4800h	N3A13555	Line49	33793	35706	"33,993"	200	6/5/16	4800h	38793				
3934	1200h	N3A13254	Line37	46131	53182	"46,297"	166	9/22/16	2400h	47497	11/11/16	11	2016	
3933	4800h	N3A13559	Line8	40395	46515	"40,712"	317	9/22/16	4800h	45512				
3932	1200h	N3A13720	Line67	50305	53001	"50,300"	-5	9/22/16	2400h	51500	11/11/16	11	2016	
3931	2400h	N3A13511	Line193	30630	47994	"30,620"	-10	9/8/16	1200h	31820	10/28/16	10	2016	
3930	4800h	N3A13511	Line193	30034	47408	"30,078"	44	9/4/16	4800h	34878				
3929	1200h	N3A13722	Line11	41562	44039	"41,706"	144	9/8/16	2400h	42906	10/28/16	10	2016	
3928	2400h	N3A13300	Line97	41338	43776	"41,360"	22	9/9/16	1200h	42560	10/29/16	10	2016	
3927	4800h	N3A13424	Line193	37210	41217	"37,237"	27	6/1/16	4800h	42037				
3926	2400h	N3A13424	Line193	37258	41217	"37,237"	-21	6/1/16	1200h	38437	7/21/16	7	2016	
3925	9600h	AS0000090363	Line65	11147	11720	"11,300"	153	7/17/16	9600h	20900				
3924	4800h	AS0000090363	Line65	11337	11720	"11,300"	-37	7/17/16	4800h	16100				
3923	1200h	AS0000090363	Line65	11300	11720	"11,300"	0	7/17/16	2400h	12500	9/5/16	9	2016	
3922	1200h	N3A13259	Line83	37085	43291	"37,105"	20	9/9/16	2400h	38305	10/29/16	10	2016	
3921	1200h	N3A13560	Line57	28189	31562	"28,237"	48	9/11/16	2400h	29437	10/31/16	10	2016	
3920	1200h	N3A13313	Line76	50450	53509	"50,431"	-19	9/9/16	2400h	51631	10/29/16	10	2016	
3919	1200h	N3A13260	Line193	44600	50234	"44,647"	47	9/9/16	2400h	45847	10/29/16	10	2016	
3918	4800h	N3A13552	Line56	36510	45774	"36,880"	370	8/24/16	4800h	41680				
3917	2400h	N3A13552	Line56	36800	45774	"36,880"	80	8/24/16	1200h	38080	10/13/16	10	2016	
3916	4800h	N3A13489	Line56	36426	48524	"36,800"	374	8/20/16	4800h	41600				
3915	2400h	N3A13489	Line194	36618	48524	"36,800"	182	8/20/16	1200h	38000	10/9/16	10	2016	
3914	9600h	N3A13491	Line19	48234	52005	"48,957"	723	8/30/16	9600h	58557				
3913	2400h	N3A13818	Line121	4911	8349	"4,921"	10	8/1/16	1200h	6121	9/20/16			
3912	2400h	N3A13263	Line107	43690	46662	"43,840"	150	8/14/16		45040				
3911	4800h	N3A13291	Line60	40112	45987	"40,390"	278	7/30/16	4800h	45190				
3910	2400h	N3A13291	Line60	40230	45987	"40,390"	160	7/30/16	1200h	41590	9/18/16	9	2016	
3909	9600h	N3A13250	Line70	33094	43334	"33,220"	126	7/27/16	9600h	42820				
3908	4800h	N3A13250	Line70	33094	43334	"33,220"	126	7/27/16	4800h	38020				
3907	1200h	N3A13250	Line70	33094	43334	"33,220"	126	7/27/16		34420				
3906	2400h	N3A13561	Line193	37279	39437	"37,323"	44	8/17/16	1200h	38523	10/6/16	10	2016	
3905	9600h	N3A13560	Line57	26873	30307	"26,989"	116	7/20/16	9600h	36589				
3904	4800h	N3A13560	Line57	26967	30307	"26,989"	22	7/20/16	4800h	31789				
3903	2400h	N3A13560	Line57	27040	30307	"26,989"	-51	7/20/16		28189				
3902	1200h	N3A13557	Line132	25239	29841	"25,141"	-98	7/22/16	2400h	26341	9/10/16	1	2016	
3900	1200h	N3A13262	Line50	43300	50098	"43,400"	100	8/21/16	2400h	44600	10/10/16	10	2016	
3899	1200h	N3A13826	Line6	20465	20834	"20,494"	29	8/16/16	2400h	21694	10/5/16	10	2016	
3898	4800h	N3A13818	Line121	4800	8349	"4,921"	121	8/1/16	4800h	9721				
3897	2400h	N3A13717	Line105	33129	35930	"33,201"	72	7/11/16		34401				
3896	2400h	N3A13555	Line49	36436	38226	"36,514"	78	8/12/16	1200	37714	10/1/16	10	2016	
3894	2400h	N3A13524	Line99	40294	47361	"40,299"	5	8/16/16	1200h	41499	10/5/16			
3893	4800h	N3A13496	Line81	24892	25733	"25,061"	169	8/18/16	4800h	29861				
3892	1200h	N3A13496	Line81	24909	25733	"25,061"	152	8/18/16	2400h	26261	10/7/16	10	2016	
3891	1200h	N3A13218	Line193	31025	36227	"31,025"	0	8/16/16	2400h	32225	10/5/16	10	2016	
3890	9600h	N3A13720	Line67	48412	50700	"49,105"	693	8/10/16	9600h	58705				
3889	2400h	N3A13720	Line67	48930	50700	"49,105"	175	8/10/16		50305				
3888	2400h	N3A13716	Line193	32738	45764	"32,840"	102	7/29/16	1200h	34040	9/17/16	9	2016	
3887	2400h	N3A13554	Line71	43467	46345	"43,597"	130	8/13/16	1200h	44797	10/2/16	10	2016	
3886	2400h	N3A13260	Line112	43230	48700	"43,400"	170	7/13/16		44600				
3885	2400h	N3A13491	Line19	48830	52005	"48,957"	127	8/30/16	1200h	50157	10/19/16	10	2016	
3884	1200h	N3A13418	Line86	29602	45256	"29,762"	160	8/24/16	2400h	30962	10/13/16	10	2016	
3883	2400h	N3A13525	Line75	24496	28563	24542	46	8/25/16	1200h	25742	10/14/16	10	2016	
3882	9600h	N3A13550	Line33	46343	49655	"46,690"	347	8/21/16	9600h	56290				
3881	4800h	N3A13550	Line33	46579	49655	"46,690"	111	8/21/16	4800h	51490				
3880	2400h	N3A13550	Line33	46738	49655	"46,690"	-48	8/21/16	1200h	47890	10/10/16	10	2016	
3879	2400h	N3A13721	Line44	40256	41174	"40,061"	-195	8/6/16	1200h	41261	9/25/16	9	2016	
3878	1200h	N3A13556	Line13	33977	37675	"34,157"	180	8/29/16	2400h	35357	10/18/16	10	2016	
3877	2400h	N3A13270	Line87	12430	24967	"12,580"	150	8/29/16	1200h	13780	10/18/16	10	2016	
3876	1200h	N3A13247	Line69	39449	50625	"39,453"	4	8/29/16	2400h	40653	10/18/16	10	2016	
3875	1200h	N3A13487	Line1	42218	45446	"42,289"	71	8/30/16	2400h	43489	10/19/16	10	2016	
3874	4800h	N3A13268	Line205	29897	40621	"29,914"	17	10/22/15	4800h	34714				
3873	2400h	N3A13268	Line54	32319	43098	"32,321"	2	5/25/16		33521				
3872	1200h	N3A13246	Line116	26798	31659	"26,846"	48	8/1/16	2400h	28046	9/20/16	9	2016	
3871	4800h	AS0000090359	Line193	28385	33350	"28,427"	42	8/2/16	4800h	33227				
3870	2400h	AS0000090359	Line193	28386	33350	"28,427"	41	8/2/16	1200h	29627	9/21/16	9	2016	
3869	2400h	N3A13254	Line37	44880	51791	"44,931"	51	7/10/16		46131				
3868	9600h	N3A13299	Line103	36219	38839	"36,256"	37	8/4/16	9600h	45856				
3867	2400h	N3A13299	Line103	36219	38839	"36,256"	37	8/4/16		37456				
3866	9600h	N3A13723	Line85	19211	20837	"19,299"	88	8/1/16	9600h	28899				
3865	2400h	N3A13723	Line85	19211	20837	"19,299"	88	8/1/16		20499				
3864	4800h	N3A13723	Line85	19211	20909	"19,371"	160	8/4/16	4800h	24171				
3863	1200h	N3A13718	Line193	17799	20567	"17,799"	0	7/17/16		18999				
3862	1200h	N3A13319	Line68	36404	38077	"36,550"	146	8/11/16	2400h	37750	9/30/16	9	2016	
